Essay_1	Essay_2	Order_1	Order_2
7169	4062	F17	W18
8337	6856	S20	F20
8328	3996	F18	W19
1816	6177	W20	F20
9178	5151	F18	W19
1188	5209	F20	W21
1545	6488	F18	W19
9533	6423	F18	S19
2961	1643	W19	S19
4226	4198	W20	S20
2168	5701	W20	S20
2319	6004	W20	S20
8831	4043	W18	S18
9691	3097	W20	S20
7753	1981	W20	S20
4655	7809	W19	S19
4683	1091	W19	S19
8921	3376	W19	S19
8935	9333	W20	S20
2215	8765	W20	W21
5411	6811	W20	S20
7491	9511	F20	W21
1003	6948	W18	S18
5998	8444	W19	F19
3583	5394	S19	F19
5443	7361	F18	W19
9327	7703	F17	W18
1352	3957	W19	F19
3095	9925	F18	W19
6685	7127	W18	S18
8168	5881	S20	F20
2837	3106	S20	W21
3565	5394	W19	F19
6975	5068	W19	S19
7099	8649	F18	W19
8045	4592	W19	S19
7823	9504	S20	F20
7168	2814	F18	W19
8369	7048	S19	F19
8328	1464	F18	S19
4272	8491	F18	F19
6652	2045	F18	S19
3408	6423	W19	S19
6210	2372	F17	W18
8391	7379	S20	F20
3017	3383	S17	F17
2749	2786	W19	S19
5786	8457	W19	F19
4360	8691	S17	F17
4175	2526	W19	F19
6428	9807	S19	F19
3904	1756	F18	W19
6986	6801	S19	F19
6630	1372	W18	S18
8952	4530	F18	W19
4790	5173	F17	W18
3565	3583	W19	S19
7320	4868	W20	S20
6680	9536	S19	F19
6069	8297	W18	S18
6917	4176	S20	F20
6959	8282	W19	S19
8349	4908	F18	W19
3282	8531	W20	S20
5654	8125	S17	F17
8576	9346	F17	W18
2258	5887	S20	F20
3601	9979	W20	S20
8787	3567	F17	W18
6293	1586	W19	S19
8327	1387	W19	S19
2356	7012	F18	W19
6251	8525	F20	W21
4080	4658	W18	S18
2588	5881	W20	F20
6060	5932	S20	W21
6520	1662	W19	F19
7747	5393	S17	F17
9568	9658	S20	F20
7513	1480	F18	W19
5049	9762	W18	S18
4402	1000	F17	S18
7707	6102	W20	S20
6119	4128	F20	W21
3802	9141	F20	W21
1999	5111	S19	F19
2938	1179	F18	W19
7320	1147	W20	W21
1233	4404	F18	W19
5488	4200	W20	S20
4145	9843	W19	F19
2379	1415	S17	F17
3812	2746	W18	S18
4008	3465	W19	S19
1784	4036	W18	S18
2693	8061	S19	F19
6825	2643	F18	S19
3224	2535	W20	S20
6347	8392	S17	F17
1983	5666	W20	W21
8279	8437	W19	S19
5321	6742	F18	W19
5113	8644	S19	F19
6067	9379	S17	F17
1468	5022	F17	W18
3673	1111	S17	F17
5786	2172	W19	S19
8918	1261	F18	W19
9634	1322	W19	F19
5299	4036	F17	S18
2587	8408	S20	F20
6123	3447	F18	W19
4563	8491	W19	F19
7865	5531	S19	F19
3084	6801	F18	F19
2372	4397	W18	S18
7400	7379	W20	F20
5440	5998	F18	W19
4390	7883	W20	S20
7348	7383	S17	F17
6909	6135	S19	F19
8200	8984	S20	F20
3578	6556	S19	F19
7615	1604	W19	S19
3931	9069	S17	F17
1141	5402	W20	S20
2837	2212	S20	F20
6745	6636	S17	S18
9914	5612	F18	W19
4090	3304	W19	S19
1778	4094	W19	S19
8759	6834	S17	F17
6820	1033	F18	S19
9907	6794	F18	F19
7908	3608	W20	F20
3407	5520	W20	S20
9873	6994	W20	S20
8466	3187	W18	S18
2250	9177	F18	W19
5299	1784	F17	W18
6575	8822	F18	W19
8408	9110	F20	W21
2341	7350	W19	F19
4086	3060	F18	W19
7778	1506	W18	S18
7387	5517	W18	S18
9157	8618	F18	S19
4471	4489	F17	S18
3047	4592	F18	S19
1203	1302	F17	W18
7244	2090	F18	W19
8554	5719	W18	S18
1242	9843	F18	F19
8576	4587	F17	S18
3881	6890	S20	W21
9303	3816	W20	S20
7568	3624	W20	S20
4093	3563	F20	W21
8735	2645	F18	W19
7651	1322	S19	F19
7444	3641	W20	S20
1171	5777	F18	W19
6087	5357	F18	W19
1951	5113	F18	S19
3699	1691	W20	S20
7447	2282	W19	F19
2498	4493	F20	W21
1085	1013	S20	W21
2704	7511	W18	S18
9208	1077	S17	F17
1636	5080	W18	S18
5366	7935	S20	W21
7052	4323	S20	F20
6759	4315	F18	F19
3425	8167	F18	W19
4030	2696	F18	F19
3165	9839	S17	S18
9128	6346	S17	F17
7452	5206	W20	W21
1864	1243	W20	S20
4980	2229	S17	W18
5780	9957	S19	F19
6234	6018	F18	W19
5402	6531	S20	W21
1722	2786	F18	S19
2618	3092	F17	W18
9691	5558	W20	W21
9926	4323	W20	F20
3911	8321	F18	W19
4884	4551	F18	W19
8458	4138	W18	S18
5560	2925	F18	S19
1300	4093	S20	F20
6967	6245	F18	F19
8824	1677	W18	S18
9042	1662	S19	F19
9586	7048	W19	F19
1764	1965	W19	S19
7797	1592	F18	W19
2987	7279	W18	S18
2902	4454	F17	W18
9323	3218	W20	W21
3229	5738	W19	F19
5729	3218	S20	W21
9336	9131	S17	F17
5203	4703	W20	S20
3328	4604	SU17	F17
4949	6594	W20	S20
4608	4998	W19	S19
5218	4769	F20	W21
7145	2816	W18	S18
1632	2207	F18	W19
2082	2236	S19	F19
7743	2661	F17	W18
2587	9110	S20	W21
8519	7267	W20	S20
5822	5039	F18	W19
4780	8441	F17	W18
6177	5932	F20	W21
2456	5481	W19	F19
4350	9043	W18	S18
1816	6060	W20	S20
6172	2674	S17	F17
3582	9363	W20	F20
4868	1147	S20	W21
2667	5738	S19	F19
3060	7367	W19	S19
5384	5481	S19	F19
3180	2992	W20	S20
7332	9043	F17	S18
2955	2668	W20	W21
9300	1558	W19	S19
5726	3046	W20	S20
8381	6580	W18	S18
1841	3578	F18	S19
5300	7937	F18	S19
6087	4447	F18	S19
7876	9606	F17	W18
9578	7489	W18	S18
2026	6789	F18	W19
4237	6259	F18	W19
9472	4010	S19	F19
7823	6669	S20	W21
6933	1167	F18	W19
5032	3478	F17	W18
5638	5406	W20	W21
9442	3628	F17	W18
5561	1084	S17	F17
1936	3920	F17	W18
4770	2452	S19	F19
5876	1410	W20	F20
6221	5766	S17	S18
5552	2659	S17	F17
3674	1092	F17	W18
5828	6531	F20	W21
4689	1874	W19	F19
4071	5860	W20	W21
3513	7137	W19	F19
2640	9382	W20	S20
2649	2973	F18	W19
7863	3207	W20	W21
5553	6807	S20	W21
5203	5127	W20	W21
5317	7885	S20	W21
1847	6767	F20	W21
4743	1940	W20	S20
6925	7426	W19	S19
6647	2071	S17	W18
6759	3304	F18	S19
2023	5206	F20	W21
4947	9139	W20	S20
4689	3571	W19	S19
2410	9704	W18	S18
2197	3429	F18	F19
7229	9780	F20	W21
3060	1749	W19	F19
6621	2515	S20	F20
1308	5748	F17	W18
1192	1085	W20	S20
9658	9191	F20	W21
8617	4716	F18	W19
6230	4401	F18	W19
4301	1810	W20	S20
8453	6052	W18	S18
6545	9970	W20	S20
2198	7397	W19	S19
4902	4080	F17	W18
5518	8669	W18	S18
9848	6219	S19	F19
7239	5497	S17	S18
6523	8171	W20	W21
8014	2735	F18	W19
3915	3207	S20	W21
3683	2454	F20	W21
1069	6237	W18	S18
6825	1327	F18	W19
4991	2262	W19	S19
5612	5059	W19	F19
3513	9781	W19	S19
9634	7651	W19	S19
7227	9340	S20	F20
2089	4286	F18	F19
2356	6098	F18	S19
4824	8556	S17	F17
2786	8465	S19	F19
6656	4928	F17	W18
7493	5111	W19	F19
2292	8572	F20	W21
3996	1464	W19	S19
1283	6285	S17	F17
7432	5481	F18	F19
7385	3788	F18	W19
3097	5558	S20	W21
4116	2322	F18	W19
6968	4012	F20	W21
5357	4447	W19	S19
3471	4084	W19	S19
7439	3438	W18	S18
6493	1096	W20	W21
6571	5059	S19	F19
4030	4608	F18	W19
9586	8369	W19	S19
5055	1511	S17	SU17
7692	9653	S17	W18
7012	6098	W19	S19
8055	4921	F17	S18
3229	2667	W19	S19
1250	1215	S19	F19
3721	2437	F18	W19
7752	8473	F17	W18
8363	3580	F18	S19
2172	8457	S19	F19
8320	4409	W18	S18
1878	7128	S20	F20
9186	9145	F18	W19
1871	4536	W20	W21
7367	1749	S19	F19
8781	6514	F18	F19
3424	5014	W20	S20
8585	3728	W20	W21
5998	6508	W19	S19
8091	3677	F20	W21
1099	2526	S19	F19
2436	2122	W18	S18
8649	5084	W19	F19
1148	6876	S17	F17
2640	1996	W20	W21
4902	4658	F17	S18
8733	4644	W19	S19
2093	9921	S17	F17
4071	6150	W20	S20
5440	8444	F18	F19
3024	6103	W19	S19
4358	2694	W19	S19
7730	5019	S20	W21
8433	9313	F17	S18
9670	3961	F18	W19
6349	6554	W20	S20
5970	7113	W20	S20
2706	8493	W19	F19
2832	4310	F18	W19
6150	5860	S20	W21
5458	8233	F18	W19
7488	3795	F18	W19
1517	3763	F20	W21
7750	8586	F18	W19
9286	7426	F18	S19
8615	5068	F18	S19
8068	7937	W19	S19
5300	8068	F18	W19
7099	5084	F18	F19
4179	9012	W20	F20
6433	7427	W20	W21
4813	5486	S19	F19
7328	6514	S19	F19
1826	7014	F18	W19
2900	9237	W19	S19
3730	5887	W20	F20
9346	4587	W18	S18
8313	2737	F20	W21
3084	7066	F18	W19
7773	8915	F20	W21
9580	3577	F18	W19
4998	2696	S19	F19
9275	2967	F18	W19
9438	5666	S20	W21
3224	4260	W20	W21
7276	2500	F18	W19
3863	1740	W18	S18
8141	7328	W19	S19
7672	3301	F18	W19
8116	8473	S17	W18
7876	3586	F17	S18
4175	1099	W19	S19
9127	1986	S17	S18
2211	3900	S17	F17
8833	5883	F20	W21
4272	4563	F18	W19
9786	3514	F18	W19
4272	2179	F18	S19
5001	7967	F18	W19
2421	9556	S20	F20
9152	1643	F18	S19
2801	1888	W18	S18
1621	7885	W20	W21
2821	1781	F18	S19
6775	8501	F18	W19
6145	9935	F20	W21
1911	5558	F20	W21
9054	4630	W20	S20
3097	1911	S20	F20
4454	7677	W18	S18
9693	9644	W20	S20
8781	7328	F18	S19
7918	6786	W20	S20
1722	8465	F18	F19
4716	3809	W19	S19
2002	2432	F18	W19
1909	3704	F20	W21
7792	3748	F20	W21
8442	9276	F17	S18
5874	3693	F18	W19
1621	7917	W20	F20
8125	1721	F17	W18
1297	7690	W20	W21
8987	8342	F18	S19
8813	9781	F18	S19
7670	7787	F20	W21
2396	5653	F20	W21
1702	8845	S20	F20
3030	2694	F18	S19
2061	3018	W20	S20
7978	9141	W20	W21
9441	3617	F20	W21
8979	4156	S17	W18
5772	9265	F18	W19
9622	9704	F17	S18
1442	3802	S20	F20
2335	8400	S17	W18
8300	3998	W19	S19
8141	6514	W19	F19
4086	7367	F18	S19
7978	1442	W20	S20
2684	2740	F18	W19
2803	4463	F18	W19
7360	8434	W20	S20
8615	6975	F18	W19
5430	6959	F18	W19
4537	2564	F18	W19
1803	8120	W20	S20
5600	8521	F17	W18
7066	6801	W19	F19
7957	8730	F18	S19
2022	3728	S20	W21
2019	1899	F17	S18
5654	1721	S17	W18
8209	5164	F17	W18
6508	8444	S19	F19
5527	2339	F18	W19
1680	1215	W19	F19
1643	9946	S19	F19
6393	8256	F18	S19
9067	5922	W19	S19
3795	9609	W19	F19
2473	2704	F17	W18
5402	5828	S20	F20
2121	3486	S17	F17
3577	4231	W19	S19
8822	7019	W19	S19
2417	8092	W18	S18
9142	5184	F18	W19
1633	8274	F20	W21
3610	3336	W19	S19
7066	6986	W19	S19
3156	2299	W19	S19
1965	9328	S19	F19
9533	3408	F18	W19
7917	7885	F20	W21
5513	3168	S17	F17
9196	7935	W20	W21
5430	8282	F18	S19
9568	9191	S20	W21
9094	3578	W19	S19
1312	4536	S20	W21
9334	2272	S17	F17
5503	8972	F18	S19
6256	9007	F18	W19
5331	5374	W18	S18
7099	4992	F18	S19
9983	3859	W18	S18
5762	4094	F18	S19
7432	2456	F18	W19
8951	2647	F20	W21
4185	5939	F18	W19
4992	5084	S19	F19
2883	4270	F20	W21
2864	8539	W19	S19
6210	4397	F17	S18
2749	8465	W19	F19
7052	4557	S20	W21
9539	6929	S17	SU17
8992	5019	W20	W21
6994	7803	S20	F20
6827	4932	W19	S19
1764	9328	W19	F19
8832	1780	W19	S19
3132	9168	S19	F19
6077	2629	S20	W21
2254	6237	S17	S18
1849	1217	S19	F19
5876	9554	W20	S20
4608	2696	W19	F19
2575	7281	W18	S18
9926	7052	W20	S20
4690	2512	W19	S19
5422	7607	W19	S19
5803	2446	F18	W19
5638	9495	W20	F20
5960	8221	W20	S20
7396	7296	F18	S19
5124	7041	F17	W18
3005	5833	S20	W21
4019	6198	W19	S19
1573	7170	W19	S19
8983	3356	F18	W19
9907	1151	F18	W19
5407	6902	W18	S18
2564	9706	W19	S19
7400	8391	W20	S20
2545	6078	W18	S18
4078	6943	W18	S18
9910	3615	S19	F19
9878	1872	F20	W21
6652	3066	F18	W19
7172	2521	F18	W19
3403	1857	W19	S19
2674	1859	F17	W18
1285	8653	F18	W19
6060	6177	S20	F20
8196	7899	W20	S20
4811	4044	F18	S19
9119	4138	F17	S18
3029	3999	W20	W21
2887	8281	W20	S20
9959	5816	F18	S19
3961	8105	W19	S19
9102	4337	F18	W19
3977	1988	F18	S19
5709	5933	S17	W18
2371	9070	W19	F19
7509	2102	W19	S19
2829	6318	F20	W21
1141	5828	W20	F20
3182	3317	F20	W21
7613	6355	W20	S20
1704	9638	F18	W19
2090	6200	W19	S19
6945	8252	F20	W21
7509	4815	W19	F19
3373	8606	W20	S20
2212	3106	F20	W21
6700	1648	F18	W19
2773	7815	F18	W19
1783	5233	W20	S20
9637	1642	S20	F20
8193	8939	W20	S20
9495	5406	F20	W21
3356	8888	W19	S19
3266	8810	S17	W18
4502	2660	S17	W18
1791	4087	SU17	F17
4514	5506	F20	W21
9119	8458	F17	W18
7633	6939	F18	W19
8585	2022	W20	S20
6449	3719	S20	F20
8383	1804	S17	W18
5787	2933	F18	W19
4089	3347	W18	S18
6878	3370	F20	W21
1300	3563	S20	W21
8768	8954	W18	S18
6016	8394	S19	F19
7843	9251	F17	S18
1841	9094	F18	W19
9554	1410	S20	F20
9914	5059	F18	F19
9081	5018	W19	S19
4703	5127	S20	W21
8658	6311	W20	S20
8278	2793	F17	W18
7181	1470	F18	W19
3494	2262	F18	S19
9152	2961	F18	W19
4939	2528	W19	S19
2823	4044	W19	S19
7717	5753	S17	F17
2429	9299	W20	F20
2092	7350	F18	F19
3072	6020	F18	W19
2219	5925	S17	W18
3494	4991	F18	W19
6520	9042	W19	S19
1650	6371	S20	W21
4501	9506	F18	W19
6774	2673	W19	S19
3190	5264	W20	S20
8571	8882	W20	S20
8041	1348	W18	S18
9527	8493	F18	F19
7333	3016	S17	S18
7443	5293	F20	W21
9188	2106	S19	F19
8471	6753	F17	S18
8690	3708	W19	S19
3298	9897	W19	S19
8363	4566	F18	F19
5121	7314	S17	F17
4563	2179	W19	S19
9506	9120	W19	S19
7235	1217	W19	F19
1168	4953	S19	F19
4354	1120	F18	W19
4875	6867	F18	W19
8919	7737	F20	W21
2463	2478	F18	W19
5448	9836	S19	F19
4086	1749	F18	F19
7276	6428	F18	S19
6064	4294	W20	S20
1409	4810	S17	F17
9545	5315	F17	W18
7697	8744	W20	S20
8781	8141	F18	W19
4501	9120	F18	S19
1737	7854	W19	S19
7180	5917	F20	W21
7488	7201	F18	S19
4236	8337	W20	S20
3946	4932	F18	S19
4835	8396	S19	F19
1327	2643	W19	S19
5560	6013	F18	F19
1951	8644	F18	F19
3335	6203	F18	W19
9152	9946	F18	F19
1141	6531	W20	W21
1302	5905	W18	S18
5665	2223	S19	F19
6189	1450	F18	W19
1944	1775	F17	W18
6865	7712	F17	W18
7850	8739	F18	W19
3984	4188	F20	W21
5942	3708	F18	S19
8477	6293	F18	W19
4522	2235	W19	S19
7871	7780	W20	S20
7493	1999	W19	S19
6274	1744	F18	W19
1531	9328	F18	F19
4706	6544	W20	S20
9580	4231	F18	S19
4537	9706	F18	S19
4122	7618	F20	W21
8471	7603	F17	W18
4842	8275	F18	W19
1257	2450	F18	W19
9731	8502	W18	S18
4323	4557	F20	W21
3066	2045	W19	S19
2605	7187	F17	W18
2160	8733	F18	W19
2692	5715	F20	W21
1203	5905	F17	S18
1354	7545	S20	W21
1816	5932	W20	W21
7621	3208	S17	F17
9622	2410	F17	W18
3948	3935	W18	S18
6579	7282	S17	F17
4710	3780	S19	F19
6172	1859	S17	W18
6252	1058	S20	W21
2702	5145	F18	W19
3528	5722	W19	S19
8353	5073	F20	W21
5682	4468	S17	W18
4919	7271	F17	W18
2756	1019	W20	S20
8756	8264	F18	W19
1242	4145	F18	W19
1475	6046	W20	S20
3135	3745	W20	S20
5022	9247	W18	S18
4817	6642	F20	W21
2456	5384	W19	S19
6358	1058	W20	W21
6070	7029	W19	F19
8895	6863	F17	W18
3581	8777	F20	W21
2092	2341	F18	W19
2500	9807	W19	F19
9562	1286	W20	S20
3987	1738	S17	W18
6383	7558	F18	W19
4723	1847	S20	F20
5612	6571	W19	S19
3138	6059	W20	S20
4393	7308	F18	F19
9606	3586	W18	S18
3244	7315	F18	F19
2589	7458	F17	S18
6070	7043	W19	S19
6775	5556	F18	S19
1680	1250	W19	S19
2254	1069	S17	W18
7272	8598	W18	S18
4030	4998	F18	S19
4728	3482	S17	W18
7344	3240	F18	F19
7244	6200	F18	S19
9527	2706	F18	W19
8065	2730	W19	S19
7978	3802	W20	F20
6238	5892	F17	W18
5765	4774	S17	F17
3046	2406	S20	F20
6355	2117	S20	F20
3165	6468	S17	W18
9782	4479	W19	S19
5138	1126	W20	S20
3571	1874	S19	F19
9237	3240	S19	F19
8423	1310	F18	W19
8263	6890	W20	W21
8930	9766	W19	S19
7235	1849	W19	S19
7213	1435	F18	F19
7452	2023	W20	F20
7299	1693	S17	F17
1841	6556	F18	F19
4090	4315	W19	F19
8992	7730	W20	S20
9925	1182	W19	F19
4618	1367	W20	S20
7280	1232	F18	W19
3044	8396	F18	F19
7396	4594	F18	W19
5503	5230	F18	W19
4027	7216	F18	W19
9670	8105	F18	S19
2500	6428	W19	S19
2070	5309	W20	S20
7420	8010	W20	W21
3668	2304	F18	S19
4750	8618	W19	S19
5726	2406	W20	F20
9528	4061	W20	S20
8813	7137	F18	F19
2198	4267	W19	F19
6759	4090	F18	W19
6611	7766	S19	F19
6762	5722	F18	S19
2160	4644	F18	S19
3172	5204	F18	W19
6660	3523	W20	S20
4631	5023	F17	S18
6156	8466	S17	W18
1738	2440	W18	S18
1285	2025	F18	S19
7916	2309	S17	W18
7488	9609	F18	F19
6111	4479	F18	S19
9742	6222	W20	S20
4728	9216	S17	F17
8591	1530	W18	S18
8542	5019	F20	W21
8791	3374	W20	S20
8649	4992	W19	S19
3795	7201	W19	S19
3730	2258	W20	S20
7420	5563	W20	S20
7351	5766	W18	S18
7934	9480	W18	S18
9305	1910	F20	W21
3232	8173	W18	S18
3095	1182	F18	F19
1531	1764	F18	W19
8992	8542	W20	F20
2717	9521	W20	W21
9094	6556	W19	F19
6198	8284	S19	F19
9834	9363	S20	F20
3293	9266	W18	S18
1621	5317	W20	S20
2179	8491	S19	F19
7043	7029	S19	F19
2857	4126	S17	W18
7943	7790	W19	F19
6820	7549	F18	W19
7863	3915	W20	S20
2164	1031	F20	W21
7546	3658	F18	W19
1270	3501	W20	S20
7390	4367	W18	S18
8019	1348	F17	S18
7712	5603	W18	S18
5563	8010	S20	W21
6586	9244	S17	S18
4723	6767	S20	W21
4811	2823	F18	W19
3582	9834	W20	S20
1551	2504	W20	S20
9286	6925	F18	W19
2151	2158	W20	S20
3604	1062	W19	S19
2961	9946	W19	F19
2952	9415	W18	S18
3462	1105	W20	S20
7402	2861	W20	W21
1198	8130	W18	S18
9715	4670	S20	W21
1393	9607	F18	W19
7432	5384	F18	S19
6610	3959	F17	W18
6445	9605	F20	W21
7149	4772	W20	S20
8144	5496	W18	S18
3220	4028	W18	S18
1299	1690	F18	W19
9323	5729	W20	S20
4284	5216	S17	F17
8659	1173	W20	F20
3580	4566	S19	F19
1772	4467	W19	S19
3987	2440	S17	S18
8767	3367	S17	F17
6762	3528	F18	W19
8813	3513	F18	W19
9873	7803	W20	F20
9781	7137	S19	F19
6156	3187	S17	S18
3476	1352	F18	W19
8601	9887	F17	W18
1468	9247	F17	S18
4758	2701	W18	S18
2535	4260	S20	W21
7630	3632	S17	F17
8617	3809	F18	S19
8973	2023	S20	F20
2900	3240	W19	F19
8019	8041	F17	W18
7451	3735	F18	W19
1442	9141	S20	W21
9951	1251	F18	W19
7957	8695	F18	W19
6496	5024	F18	W19
9196	5366	W20	S20
9382	1996	S20	W21
1456	2122	S17	S18
8470	7255	W18	S18
4594	7296	W19	S19
9504	6669	F20	W21
1722	2749	F18	W19
8987	2074	F18	W19
6111	9782	F18	W19
9157	4750	F18	W19
2074	8342	W19	S19
1983	9438	W20	S20
5942	8690	F18	W19
3068	9953	F18	W19
4134	4599	F17	W18
3042	8037	F20	W21
2588	8168	W20	S20
9041	1306	W20	S20
2485	4590	F17	W18
6826	8015	W19	F19
8881	8867	W19	S19
6114	5895	W19	F19
2750	8976	F18	W19
4645	2995	F18	F19
1572	2282	S19	F19
6575	7019	F18	S19
8653	2025	W19	S19
9691	1911	W20	F20
3030	4358	F18	W19
5317	7917	S20	F20
3304	4315	S19	F19
3334	1176	W18	S18
8501	5556	W19	S19
5762	1778	F18	W19
5399	7682	W18	S18
4913	6656	S17	F17
2902	7677	F17	S18
8039	5831	S19	F19
6865	5603	F17	S18
